state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
NC,NC-HD-2,R,Safe,Larry Yarborough,Cindy Deporter,R,,,1.7406860291945276,D,37002,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_2,https://cindydeporter.com/,https://www.larryyarboroughnc.com,
NC,NC-HD-64,R,Safe,Dennis Riddell,Eric Henry,R,,,1.7367367488076793,D,37064,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_64,https://www.ericfornchouse.com/,http://riddell4nchouse64.com,
NC,NC-HD-73,R,Safe,Lee Zachary,William Stinson,R,,,1.7177621146436906,D,37073,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_73,https://ballotpedia.org/William_Stinson,https://ballotpedia.org/Lee_Zachary,
NC,NC-HD-91,R,Safe,Kyle Hall,Rita Cruise,R,,,1.7069151598101937,D,37091,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_91,https://ballotpedia.org/Rita_Cruise,http://www.kylehallnc.com,
NC,NC-HD-80,R,Safe,Sam Watford,Wendy Sellars,Open,,,1.705817802511863,D,37080,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_80,https://wendysellars.com/,https://ballotpedia.org/Sam_Watford,
NC,NC-HD-10,R,Safe,John Bell,Carl Martin,R,,,1.7048892694132751,D,37010,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_10,https://ballotpedia.org/Carl_Martin_(North_Carolina),https://www.electjohnbell.com,
NC,NC-HD-86,R,Safe,Hugh Blackwell,Cecelia Surratt,R,,,1.6988718925795736,D,37086,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_86,https://ballotpedia.org/Cecelia_Surratt,https://ballotpedia.org/Hugh_Blackwell,
NC,NC-HD-95,R,Safe,Grey Mills Jr.,Amanda Kotis,Open,,,1.6960862932838117,D,37095,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_95,https://ballotpedia.org/Amanda_Kotis,https://ballotpedia.org/Grey_Mills_Jr.,
NC,NC-HD-112,R,Safe,David Rogers,Ed Hallyburton,R,,,1.688531410345306,D,37112,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_112,https://ballotpedia.org/Ed_Hallyburton,https://ballotpedia.org/David_Rogers_(North_Carolina),
NC,NC-HD-76,R,Safe,Harry Warren,Al Heggins,R,,,1.6841238928448692,D,37076,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_76,https://www.alheggins.com/?fbclid=IwAR2SkpGD-Li8X3QLTd5hmxVpt7BYklajaAR5ON4hArtoX-7aMA3MFTjPRdk,https://www.harrywarrennc77.com,
